trade_date,cb_amount,cb_active_count,corr_1000,corr_2000,avg_price,avg_premium,price_percentile,delta_median,below_par_ratio,median_price
20260224,649.37,370,,,181.53,,50.0,,0.0,143.57
20260225,795.61,369,,,185.27,,50.0,,0.0,144.31
20260226,734.08,370,,,182.4,,33.3,,0.0,143.68
20260227,765.91,369,,,181.45,,0.0,,0.0,142.67
20260302,723.86,368,,,177.48,,0.0,,0.0,142.28
20260303,768.75,365,,,170.88,31.42,0.0,,0.0,139.8
20260304,780.6,364,,,180.47,29.92,28.6,,0.0,139.43
20260305,730.48,364,,,175.22,28.37,12.5,,0.0,140.09
20260306,670.72,363,,,177.25,25.3,22.2,,0.0,140.96
20260309,771.46,361,,,179.8,26.16,40.0,,0.0,140.28
20260310,657.34,360,,,175.06,27.11,9.1,,0.0,141.85
20260311,667.67,361,,,183.32,28.91,83.3,,0.0,141.46
20260312,634.33,360,,,173.58,24.67,7.7,,0.0,139.67
20260313,735.43,360,,,176.91,23.25,28.6,,0.0,138.68
20260316,734.8,360,,,170.36,25.27,0.0,,0.0,138.41
20260317,660.51,361,,,166.62,24.14,0.0,,0.0,136.0
20260318,655.52,359,,,169.26,25.62,5.9,,0.0,137.85
20260319,608.64,358,,,168.48,25.33,5.6,,0.0,135.17
20260320,688.82,356,,,163.21,25.72,0.0,,0.0,133.91
20260323,724.81,356,-0.2877,-0.3149,160.51,27.64,0.0,,0.3,131.54
20260324,762.14,354,-0.223,-0.2353,165.64,28.58,9.5,0.4588,0.0,135.19
20260325,748.28,353,-0.3016,-0.3076,168.42,32.08,18.2,0.457,0.0,136.84
20260326,614.46,351,-0.2131,-0.2219,166.25,27.11,13.0,0.4479,0.0,134.8
20260327,717.76,349,-0.1126,-0.1292,173.3,27.19,41.7,0.4586,0.0,135.5
20260330,665.67,349,-0.1192,-0.1358,169.8,29.5,32.0,0.442,0.6,134.29
20260331,667.36,349,-0.0656,-0.0889,167.37,25.79,19.2,0.4765,0.6,132.64
20260401,786.07,348,0.0421,0.0066,170.33,29.88,37.0,0.4743,0.3,135.8
20260402,675.85,345,0.1174,0.0802,163.35,24.49,7.1,0.4586,0.9,134.4
20260403,661.81,343,0.1543,0.1223,166.18,27.35,13.8,0.4793,0.6,134.74
20260407,601.62,341,0.1322,0.1025,170.03,26.14,40.0,0.4439,0.6,135.68
20260408,814.44,340,0.4845,0.421,177.77,32.19,74.2,0.4991,0.3,139.46
20260409,747.34,340,0.4811,0.422,176.4,31.25,62.5,0.502,0.3,138.18
20260410,827.12,339,0.4932,0.4233,180.84,30.87,81.8,0.5183,0.3,137.87
20260413,628.91,338,0.4822,0.4106,176.25,28.94,58.8,0.4835,0.3,137.19
20260414,713.5,339,0.4994,0.4256,181.76,26.17,88.6,0.5254,0.3,138.7
20260415,790.59,339,0.4614,0.3881,176.35,27.37,58.3,0.4813,0.3,139.0
20260416,914.14,339,0.486,0.4221,183.03,29.44,91.9,0.4966,0.3,140.56
20260417,830.16,340,0.4423,0.3861,182.62,28.69,89.5,0.4539,0.9,140.8
20260420,10.56,2,0.2435,0.1966,131.03,48.83,0.0,,0.0,131.99
20260421,765.7,338,-0.0961,-0.1053,183.14,29.08,92.5,0.5233,0.9,140.29
20260422,806.75,338,-0.0916,-0.0945,180.93,31.02,75.6,0.5201,0.9,140.84
20260423,833.9,337,-0.0653,-0.0662,177.56,29.64,64.3,0.4913,0.9,139.98
20260424,812.12,336,-0.0732,-0.0746,179.63,30.43,67.4,0.4939,0.9,139.77
20260427,775.25,336,-0.0668,-0.0718,182.53,26.27,86.4,0.465,0.9,139.62
20260428,870.58,335,-0.053,-0.0594,181.1,29.04,75.6,0.4621,0.9,137.93
20260429,872.8,333,-0.0817,-0.0831,184.87,28.39,95.7,0.4872,0.6,139.48
20260430,787.82,332,-0.0729,-0.0746,177.57,27.86,59.6,0.4699,0.6,138.44
20260506,827.71,333,-0.1095,-0.1072,187.15,27.49,97.9,0.4444,1.2,140.03
20260507,834.66,334,-0.1368,-0.1496,191.83,27.89,98.0,0.5059,1.5,140.47
20260508,819.44,332,-0.1312,-0.147,194.06,28.54,98.0,0.5353,1.2,141.44
20260511,846.82,334,-0.1418,-0.1589,186.03,30.39,92.2,0.4966,1.2,142.01
20260512,837.03,334,-0.1407,-0.1565,188.75,28.54,94.2,0.4965,1.2,140.6
20260513,912.2,334,-0.144,-0.1615,192.96,25.23,96.2,0.5303,1.2,140.3
20260514,898.51,333,-0.1045,-0.1208,175.96,28.47,38.9,0.5157,1.2,138.5
20260515,962.68,332,-0.0787,-0.1051,184.95,31.98,85.5,0.4998,1.5,138.01
20260518,817.89,332,-0.0882,-0.1136,189.22,25.93,92.9,0.5227,1.2,137.68
20260519,888.94,330,-0.0848,-0.1101,191.84,26.67,94.7,0.5485,1.5,139.18
20260520,897.48,331,-0.0762,-0.1002,190.97,31.44,91.4,0.4975,1.2,138.44
20260521,927.11,331,-0.0295,-0.0433,188.12,29.69,86.4,0.5162,1.5,137.13
20260522,915.49,331,-0.0366,-0.0523,194.34,27.26,98.3,0.5319,1.2,138.05
20260525,919.41,329,-0.0736,-0.0677,197.87,26.61,98.4,0.4995,1.5,137.73
