trade_date,cb_amount,cb_active_count,corr_1000,corr_2000,avg_price,avg_premium,price_percentile,delta_median,below_par_ratio,median_price
20260211,740.98,370,,,187.12,30.88,50.0,,0.0,142.41
20260212,833.88,371,,,188.4,33.54,50.0,,0.0,143.29
20260213,758.73,370,,,191.24,31.84,66.7,,0.0,142.06
20260224,649.37,370,,,181.53,,0.0,,0.0,143.57
20260225,795.61,369,,,185.27,,20.0,,0.0,144.31
20260226,734.08,370,,,182.4,,16.7,,0.0,143.68
20260227,765.91,369,,,181.45,,0.0,,0.0,142.67
20260302,723.86,368,,,177.48,,0.0,,0.0,142.28
20260303,768.75,365,,,170.88,31.5,0.0,,0.0,139.8
20260304,780.6,364,,,180.47,30.38,20.0,,0.0,139.43
20260305,730.48,364,,,175.22,28.81,9.1,,0.0,140.09
20260306,670.72,363,,,177.25,25.36,16.7,,0.0,140.96
20260309,771.46,361,,,179.8,26.44,30.8,,0.0,140.28
20260310,657.34,360,,,175.06,28.03,7.1,,0.0,141.85
20260311,667.67,361,,,183.32,29.36,66.7,,0.0,141.46
20260312,634.33,360,,,173.58,25.11,6.2,,0.0,139.67
20260313,735.43,360,,,176.91,23.71,23.5,,0.0,138.68
20260316,734.8,360,,,170.36,25.69,0.0,,0.0,138.41
20260317,660.51,361,,,166.62,24.57,0.0,,0.0,136.0
20260318,655.52,359,-0.1963,-0.266,169.26,26.05,5.0,,0.0,137.85
20260319,608.64,358,-0.1319,-0.195,168.48,25.75,4.8,0.4744,0.0,135.17
20260320,688.82,356,-0.2553,-0.3053,163.21,26.15,0.0,0.4358,0.0,133.91
20260323,724.81,356,-0.3003,-0.323,160.51,27.88,0.0,0.4193,0.3,131.54
20260324,762.14,354,-0.223,-0.2353,165.64,29.03,8.3,0.4588,0.0,135.19
20260325,748.28,353,-0.3016,-0.3076,168.42,32.52,16.0,0.457,0.0,136.84
20260326,614.46,351,-0.2131,-0.2219,166.25,27.54,11.5,0.4479,0.0,134.8
20260327,717.76,349,-0.1126,-0.1292,173.3,27.69,37.0,0.4586,0.0,135.5
20260330,665.67,349,-0.1192,-0.1358,169.8,30.64,28.6,0.442,0.6,134.29
20260331,667.36,349,-0.0656,-0.0889,167.37,26.3,17.2,0.4765,0.6,132.64
20260401,786.07,348,0.0421,0.0066,170.33,31.71,33.3,0.4743,0.3,135.8
20260402,675.85,345,0.1174,0.0802,163.35,26.41,6.5,0.4586,0.9,134.4
20260403,661.81,343,0.1543,0.1223,166.18,27.93,12.5,0.4793,0.6,134.74
20260407,601.62,341,0.1322,0.1025,170.03,26.36,36.4,0.4439,0.6,135.68
20260408,814.44,340,0.4845,0.421,177.77,32.66,67.6,0.4991,0.3,139.46
20260409,747.34,340,0.4811,0.422,176.4,31.6,57.1,0.502,0.3,138.18
20260410,827.12,339,0.4932,0.4233,180.84,32.13,75.0,0.5183,0.3,137.87
20260413,628.91,338,0.4822,0.4106,176.25,29.19,54.1,0.4835,0.3,137.19
20260414,713.5,339,0.4994,0.4256,181.76,28.41,81.6,0.5254,0.3,138.7
20260415,790.59,339,0.4614,0.3881,176.35,29.19,53.8,0.4813,0.3,139.0
20260416,914.14,339,0.486,0.4221,183.03,29.51,85.0,0.4966,0.3,140.56
20260417,830.16,340,0.4423,0.3861,182.62,30.58,82.9,0.4539,0.9,140.8
20260420,10.56,2,0.2435,0.1966,131.03,48.83,0.0,,0.0,131.99
20260421,765.7,338,-0.0961,-0.1053,183.14,29.36,86.0,0.5233,0.9,140.29
20260422,806.75,338,-0.0916,-0.0945,180.93,31.86,70.5,0.5201,0.9,140.84
20260423,833.9,337,-0.0653,-0.0662,177.56,29.75,60.0,0.4913,0.9,139.98
20260424,812.12,336,-0.0732,-0.0746,179.63,30.76,63.0,0.4939,0.9,139.77
20260427,775.25,336,-0.0668,-0.0718,182.53,26.74,80.9,0.465,0.9,139.62
20260428,870.58,335,-0.053,-0.0594,181.1,29.08,70.8,0.4621,0.9,137.93
20260429,872.8,333,-0.0817,-0.0831,184.87,28.47,89.8,0.4872,0.6,139.48
20260430,787.82,332,-0.0729,-0.0746,177.57,27.89,56.0,0.4699,0.6,138.44
20260506,827.71,333,-0.1095,-0.1072,187.15,27.57,94.1,0.4444,1.2,140.03
20260507,834.66,334,-0.1368,-0.1496,191.83,28.42,98.1,0.5059,1.5,140.47
20260508,819.44,332,-0.1312,-0.147,194.06,28.88,98.1,0.5353,1.2,141.44
20260511,846.82,334,-0.1418,-0.1589,186.03,31.42,87.0,0.4966,1.2,142.01
20260512,0.0,0,-0.1474,-0.1716,,,,,,
