date,code,name,strategy,strategy_detail,latest_date,latest_cum_nav,week_return,month_return,ytd_return,status
2026-04-28,SATW62,顽岩量化选股1号,量选类,量化选股,2026-04-24,2.0071,0.011388259007306667,0.08152818191615485,0.16414361115944542,正常
2026-04-28,SARD76,正仁股票择时一期,量选类,股票择时,2026-04-27,1.3462015,-0.004417402900483314,0.017721734685183677,0.059750846256789725,正常
2026-04-28,SXG834,正仁双创择时一号,风格类,双创择时,2026-04-27,1.67625922,-0.00523299460424731,0.12514092543310396,0.14357976531586836,正常
2026-04-28,SZC020,瀚鑫纸鸢量化优选,风格类,微盘择时,2026-04-17,2.644,-0.0003780718336483524,-0.020740740740740726,0.01497120921305184,正常
2026-04-28,SAJJ91,积沐领航者,风格类,1000指增,2026-04-27,2.0184,-0.005077142997979012,0.06816257408975468,0.1295539761598301,正常
2026-04-28,SBCA75,太衍光年中证2000指数增强2号,风格类,2000指增T0,2026-04-27,1.2308,-0.0033201068912463993,0.07927043142756918,0.16189936750684408,正常
2026-04-28,SSV122,时间序列红利增强1号,风格类,红利指增,2026-04-24,1.4088,-0.0017714164245730135,0.009096769572380259,0.039704797047970475,正常
2026-04-28,SLQ349,赢仕安盈二号,风格类,转债集中,2026-04-27,1.94150471,0.000994614502209723,0.04744145686404044,0.07905026355662326,正常
2026-04-28,STE836,具力芒种1号,风格类,转债分散,2026-04-24,1.65190185,-0.00436571193407298,0.048077771432963434,0.039442543542189235,正常
2026-04-28,SGN799,玉数纯阿尔法一号,风格类,300指增T0,2026-04-24,1.48285301,0.0070050835232911,0.0825252706373385,0.16457662818944496,正常
2026-04-28,SNY231,玉数顺利一号,风格类,500指增T0,2026-04-24,1.8935008,0.013606658601212462,0.09411537157716898,0.1748469318111312,正常
2026-04-28,SZB966,玉数涵瑞专享十七号,风格类,1000指增T0,2026-04-24,1.71903679,-0.009026377435385147,0.08835418392350158,0.1608838398163157,正常
2026-04-28,SACB34,龙旗科技创新精选1号,风格类,双创指增,2026-04-24,2.2091,0.0050957732380907395,0.09768944099378873,0.1833619027212341,正常
2026-04-28,SBHP32,正仁择时量选听涛二号,风格类,灵活方向择时,2026-04-27,1.40067672,-0.005726668050073824,0.18273037020633187,0.4450394305168679,正常
2026-04-28,AEU46B,旌安思源1号B类,绝对收益,短线择时,2026-04-27,1.224,0.005586592178770777,0.005421389847215297,0.010985380358470298,正常
2026-04-28,SBDC67,创世纪顾锝灵活多策略1号,绝对收益,趋势策略,2026-04-27,1.0154,-0.01722802942315116,0.0038556599110233236,-0.02608862459236516,正常
2026-04-28,SCJ476,立心-私募学院菁英353号,绝对收益,主线择时,2026-04-27,6.53505788,0.020287639722841755,0.03306366621559942,0.052386412081247835,正常
2026-04-28,VB166A,翔云50二号A类,绝对收益,大盘择时,2026-04-27,2.0536,-0.007730962504831851,0.015678322370047848,0.0411681200567835,正常
2026-04-28,SQX078,特夫郁金香全量化,绝对收益,量化打板,2026-04-27,2.69626999,0.0009520194287901962,0.03199842750824078,0.032045130213312234,正常
2026-04-28,SJD168,玉数涵瑞六号,绝对收益,300中性T0,2026-04-24,1.69855671,0.0029191738021625557,0.03589937156336931,0.10737099943229667,正常
2026-04-28,SVZ009,铭跃行远均衡一号,商品类,量化时序CTA,2026-04-24,1.27928419,-0.0019880677707234673,-0.02995169034504508,0.009378570726739754,正常
2026-04-28,SXJ836,碳硅1号,商品类,化工主观,2026-04-24,1.54659112,-0.0048523666909858765,-0.0033088647240633318,-0.031061522928303997,正常
2026-04-28,SZM385,涌泉君安三号,商品类,黑色主观,2026-04-24,1.43554096,-0.0019182646179517482,0.014444887287117458,0.09675373214149285,正常
2026-04-28,SSR379,海鹏扬帆,商品类,农产品主观,2026-04-24,2.77990232,0.01553062819224138,0.0008503386451108597,0.05371530955868198,正常
2026-04-28,SVZ638,格林基金鲲鹏6号,多策略,黄金大类,2026-04-24,8.5115,-0.024056046690286936,0.0729232320685742,0.05158141833456886,正常
2026-04-28,SARZ77,波克宏观配置1号,多策略,宏观大类,2026-04-24,1.51022177,0.005844778382494864,0.03786816540128113,0.13193057262779195,正常
2026-04-28,SAST37,国联证券陆联1号FOF,FOF组合类,低波私募FOF,2026-04-22,1.0899,0.004979253112033177,0.007394398742952113,0.020096748300519884,正常
2026-04-28,SATW62,顽岩量化选股1号,量选类,量化选股,2026-04-24,2.0071,0.011388259007306667,0.08152818191615485,0.16414361115944542,正常
2026-04-28,SARD76,正仁股票择时一期,量选类,股票择时,2026-04-27,1.3462015,-0.004417402900483314,0.017721734685183677,0.059750846256789725,正常
2026-04-28,SXG834,正仁双创择时一号,风格类,双创择时,2026-04-27,1.67625922,-0.00523299460424731,0.12514092543310396,0.14357976531586836,正常
2026-04-28,SZC020,瀚鑫纸鸢量化优选,风格类,微盘择时,2026-04-17,2.644,-0.0003780718336483524,-0.020740740740740726,0.01497120921305184,正常
2026-04-28,SAJJ91,积沐领航者,风格类,1000指增,2026-04-27,2.0184,-0.005077142997979012,0.06816257408975468,0.1295539761598301,正常
2026-04-28,SBCA75,太衍光年中证2000指数增强2号,风格类,2000指增T0,2026-04-27,1.2308,-0.0033201068912463993,0.07927043142756918,0.16189936750684408,正常
2026-04-28,SSV122,时间序列红利增强1号,风格类,红利指增,2026-04-24,1.4088,-0.0017714164245730135,0.009096769572380259,0.039704797047970475,正常
2026-04-28,SLQ349,赢仕安盈二号,风格类,转债集中,2026-04-27,1.94150471,0.000994614502209723,0.04744145686404044,0.07905026355662326,正常
2026-04-28,STE836,具力芒种1号,风格类,转债分散,2026-04-24,1.65190185,-0.00436571193407298,0.048077771432963434,0.039442543542189235,正常
2026-04-28,SGN799,玉数纯阿尔法一号,风格类,300指增T0,2026-04-24,1.48285301,0.0070050835232911,0.0825252706373385,0.16457662818944496,正常
2026-04-28,SNY231,玉数顺利一号,风格类,500指增T0,2026-04-24,1.8935008,0.013606658601212462,0.09411537157716898,0.1748469318111312,正常
2026-04-28,SZB966,玉数涵瑞专享十七号,风格类,1000指增T0,2026-04-24,1.71903679,-0.009026377435385147,0.08835418392350158,0.1608838398163157,正常
2026-04-28,SACB34,龙旗科技创新精选1号,风格类,双创指增,2026-04-24,2.2091,0.0050957732380907395,0.09768944099378873,0.1833619027212341,正常
2026-04-28,SBHP32,正仁择时量选听涛二号,风格类,灵活方向择时,2026-04-27,1.40067672,-0.005726668050073824,0.18273037020633187,0.4450394305168679,正常
2026-04-28,AEU46B,旌安思源1号B类,绝对收益,短线择时,2026-04-27,1.224,0.005586592178770777,0.005421389847215297,0.010985380358470298,正常
2026-04-28,SBDC67,创世纪顾锝灵活多策略1号,绝对收益,趋势策略,2026-04-27,1.0154,-0.01722802942315116,0.0038556599110233236,-0.02608862459236516,正常
2026-04-28,SCJ476,立心-私募学院菁英353号,绝对收益,主线择时,2026-04-27,6.53505788,0.020287639722841755,0.03306366621559942,0.052386412081247835,正常
2026-04-28,VB166A,翔云50二号A类,绝对收益,大盘择时,2026-04-27,2.0536,-0.007730962504831851,0.015678322370047848,0.0411681200567835,正常
2026-04-28,SQX078,特夫郁金香全量化,绝对收益,量化打板,2026-04-27,2.69626999,0.0009520194287901962,0.03199842750824078,0.032045130213312234,正常
2026-04-28,SJD168,玉数涵瑞六号,绝对收益,300中性T0,2026-04-24,1.69855671,0.0029191738021625557,0.03589937156336931,0.10737099943229667,正常
2026-04-28,SVZ009,铭跃行远均衡一号,商品类,量化时序CTA,2026-04-24,1.27928419,-0.0019880677707234673,-0.02995169034504508,0.009378570726739754,正常
